b00,b01,u0,b10,b11,u1
0.95,0.0,0.05,0.2,0.4,0.4
0.95,0.0,0.05,0.21,0.39,0.4
0.95,0.0,0.05,0.22,0.38,0.4
0.95,0.0,0.05,0.23,0.37,0.4
0.95,0.0,0.05,0.24,0.36,0.4
0.95,0.0,0.05,0.25,0.35,0.4
0.95,0.0,0.05,0.26,0.34,0.4
0.95,0.0,0.05,0.27,0.33,0.4
0.95,0.0,0.05,0.28,0.32,0.4
0.95,0.0,0.05,0.29,0.31,0.4
0.95,0.0,0.05,0.3,0.3,0.4
0.95,0.0,0.05,0.31,0.29,0.4
0.95,0.0,0.05,0.32,0.28,0.4
0.95,0.0,0.05,0.33,0.27,0.4
0.95,0.0,0.05,0.34,0.26,0.4
0.95,0.0,0.05,0.35,0.25,0.4
0.95,0.0,0.05,0.36,0.24,0.4
0.95,0.0,0.05,0.37,0.23,0.4
0.95,0.0,0.05,0.38,0.22,0.4
0.95,0.0,0.05,0.39,0.21,0.4
0.95,0.0,0.05,0.4,0.2,0.4
