b00,b01,u0,b10,b11,u1
0.95,0.00,0.05,0.00,0.4,0.6
0.95,0.00,0.05,0.00,0.425,0.575
0.95,0.00,0.05,0.00,0.45,0.55
0.95,0.00,0.05,0.00,0.475,0.525
0.95,0.00,0.05,0.00,0.5,0.5
0.95,0.00,0.05,0.00,0.525,0.475
0.95,0.00,0.05,0.00,0.55,0.45
0.95,0.00,0.05,0.00,0.575,0.425
0.95,0.00,0.05,0.00,0.6,0.4
0.95,0.00,0.05,0.00,0.625,0.375
0.95,0.00,0.05,0.00,0.65,0.35
0.95,0.00,0.05,0.00,0.675,0.325
0.95,0.00,0.05,0.00,0.7,0.3
0.95,0.00,0.05,0.00,0.725,0.275
0.95,0.00,0.05,0.00,0.75,0.25
0.95,0.00,0.05,0.00,0.775,0.225
0.95,0.00,0.05,0.00,0.8,0.2
