b00,b01,u0,b10,b11,u1
0.7,0.0,0.3,0.03,0.87,0.1
0.7,0.0,0.3,0.0435,0.8565,0.1
0.7,0.0,0.3,0.057,0.843,0.1
0.7,0.0,0.3,0.07050000000000001,0.8295,0.1
0.7,0.0,0.3,0.084,0.816,0.1
0.7,0.0,0.3,0.0975,0.8025,0.1
0.7,0.0,0.3,0.11100000000000002,0.789,0.1
0.7,0.0,0.3,0.12450000000000001,0.7755,0.1
0.7,0.0,0.3,0.138,0.762,0.1
0.7,0.0,0.3,0.1515,0.7484999999999999,0.1
0.7,0.0,0.3,0.165,0.735,0.1
0.7,0.0,0.3,0.17850000000000002,0.7215,0.1
0.7,0.0,0.3,0.19200000000000003,0.708,0.1
0.7,0.0,0.3,0.20550000000000002,0.6945,0.1
0.7,0.0,0.3,0.21900000000000003,0.6809999999999999,0.1
0.7,0.0,0.3,0.2325,0.6675,0.1
0.7,0.0,0.3,0.24600000000000002,0.654,0.1
0.7,0.0,0.3,0.2595,0.6405,0.1
0.7,0.0,0.3,0.273,0.627,0.1
0.7,0.0,0.3,0.28650000000000003,0.6134999999999999,0.1
0.7,0.0,0.3,0.3,0.6,0.1
