b00,b01,u0,b10,b11,u1
0.95,0.0,0.05,0.0,0.5,0.5
0.95,0.0,0.05,0.0,0.5066666666666666,0.49333333333333335
0.95,0.0,0.05,0.0,0.5133333333333333,0.48666666666666664
0.95,0.0,0.05,0.0,0.52,0.48
0.95,0.0,0.05,0.0,0.5266666666666666,0.4733333333333334
0.95,0.0,0.05,0.0,0.5333333333333333,0.4666666666666666
0.95,0.0,0.05,0.0,0.54,0.46
0.95,0.0,0.05,0.0,0.5466666666666666,0.45333333333333337
0.95,0.0,0.05,0.0,0.5533333333333333,0.44666666666666666
0.95,0.0,0.05,0.0,0.56,0.44
0.95,0.0,0.05,0.0,0.5666666666666667,0.43333333333333335
0.95,0.0,0.05,0.0,0.5733333333333334,0.42666666666666664
0.95,0.0,0.05,0.0,0.58,0.42
0.95,0.0,0.05,0.0,0.5866666666666667,0.41333333333333333
0.95,0.0,0.05,0.0,0.5933333333333333,0.40666666666666673
0.95,0.0,0.05,0.0,0.6,0.4
0.95,0.0,0.05,0.0,0.6066666666666667,0.39333333333333337
0.95,0.0,0.05,0.0,0.6133333333333333,0.3866666666666667
0.95,0.0,0.05,0.0,0.62,0.38
0.95,0.0,0.05,0.0,0.6266666666666666,0.37333333333333335
0.95,0.0,0.05,0.0,0.6333333333333333,0.3666666666666667
0.95,0.0,0.05,0.0,0.64,0.36
0.95,0.0,0.05,0.0,0.6466666666666667,0.3533333333333333
0.95,0.0,0.05,0.0,0.6533333333333333,0.34666666666666673
0.95,0.0,0.05,0.0,0.66,0.34
0.95,0.0,0.05,0.0,0.6666666666666665,0.3333333333333334
0.95,0.0,0.05,0.0,0.6733333333333333,0.3266666666666667
0.95,0.0,0.05,0.0,0.68,0.32
0.95,0.0,0.05,0.0,0.6866666666666665,0.3133333333333334
0.95,0.0,0.05,0.0,0.6933333333333332,0.3066666666666667
0.95,0.0,0.05,0.0,0.7,0.3
