x0,x1,y
-1.0,-4.0,-0.0001
-1.0,-4.0625,-0.0001
-1.0,-4.125,-0.0001
-1.0,-4.1875,-0.0001
-1.0,-4.25,-0.0001
-1.0,-4.3125,-0.0001
-1.0,-4.375,-0.0001
-1.0,-4.4375,-0.0001
-1.0,-4.5,-0.0001
-1.0,-4.5625,-0.0001
-1.0,-4.625,-0.0001
-1.0,-4.6875,-0.0001
-1.0,-4.75,-0.0001
-1.0,-4.8125,-0.0001
-1.0,-4.875,-0.0001
-1.0,-4.9375,-0.0001
-1.0,-5.0,-0.0001
-1.0,-5.0625,-0.0001
-1.0,-5.125,-0.0001
-1.0,-5.1875,-0.0001
-1.0,-5.25,-0.0001
-1.0,-5.3125,-0.0001
-1.0,-5.375,-0.0001
-1.0,-5.4375,-0.0001
-1.0,-5.5,-0.0001
-1.0,-5.5625,-0.0001
-1.0,-5.625,-0.0001
-1.0,-5.6875,-0.0001
-1.0,-5.75,-0.0001
-1.0,-5.8125,-0.0001
-1.0,-5.875,-0.0001
-1.0,-5.9375,-0.0001
-1.0,-6.0,-0.0001
