x0,x1,y
-1.0,-4.0,-0.005
-1.0,-4.125,-0.005
-1.0,-4.25,-0.005
-1.0,-4.375,-0.005
-1.0,-4.5,-0.005
-1.0,-4.625,-0.005
-1.0,-4.75,-0.005
-1.0,-4.875,-0.005
-1.0,-5.0,-0.005
-1.0,-5.125,-0.005
-1.0,-5.25,-0.005
-1.0,-5.375,-0.005
-1.0,-5.5,-0.005
-1.0,-5.625,-0.005
-1.0,-5.75,-0.005
-1.0,-5.875,-0.005
-1.0,-6.0,-0.005
-1.0,-6.125,-0.005
-1.0,-6.25,-0.005
-1.0,-6.375,-0.005
-1.0,-6.5,-0.005
-1.0,-6.625,-0.005
-1.0,-6.75,-0.005
-1.0,-6.875,-0.005
-1.0,-7.0,-0.005
-1.0,-7.125,-0.005
-1.0,-7.25,-0.005
-1.0,-7.375,-0.005
-1.0,-7.5,-0.005
-1.0,-7.625,-0.005
-1.0,-7.75,-0.005
-1.0,-7.875,-0.005
-1.0,-8.0,-0.005
