x0,x1,y
-1.0,-8.0,-0.001
-1.0,-8.125,-0.001
-1.0,-8.25,-0.001
-1.0,-8.375,-0.001
-1.0,-8.5,-0.001
-1.0,-8.625,-0.001
-1.0,-8.75,-0.001
-1.0,-8.875,-0.001
-1.0,-9.0,-0.001
-1.0,-9.125,-0.001
-1.0,-9.25,-0.001
-1.0,-9.375,-0.001
-1.0,-9.5,-0.001
-1.0,-9.625,-0.001
-1.0,-9.75,-0.001
-1.0,-9.875,-0.001
-1.0,-10.0,-0.001
-1.0,-10.125,-0.001
-1.0,-10.25,-0.001
-1.0,-10.375,-0.001
-1.0,-10.5,-0.001
-1.0,-10.625,-0.001
-1.0,-10.75,-0.001
-1.0,-10.875,-0.001
-1.0,-11.0,-0.001
-1.0,-11.125,-0.001
-1.0,-11.25,-0.001
-1.0,-11.375,-0.001
-1.0,-11.5,-0.001
-1.0,-11.625,-0.001
-1.0,-11.75,-0.001
-1.0,-11.875,-0.001
-1.0,-12.0,-0.001
